<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,D,20240611,000000,317.28,26271510
SBER,D,20240612,000000,317.8,20045280
SBER,D,20240614,000000,317.71,40596660
SBER,D,20240615,000000,319.35,21471310
SBER,D,20240618,000000,317.65,15421940
SBER,D,20240619,000000,314.34,21995830
SBER,D,20240620,000000,310.7,42166660
SBER,D,20240621,000000,314.15,72766890
SBER,D,20240622,000000,314.14,29078260
SBER,D,20240625,000000,317.25,29541850
SBER,D,20240626,000000,319.8,25961320
SBER,D,20240627,000000,324.55,42419730
SBER,D,20240628,000000,327.16,46744210
SBER,D,20240629,000000,327.15,40401840
SBER,D,20240702,000000,327.1,31651010
SBER,D,20240703,000000,328.37,21147250
SBER,D,20240704,000000,328.2,32149800
SBER,D,20240705,000000,324.66,40717120
SBER,D,20240706,000000,325,40395560
SBER,D,20240709,000000,324.07,27707420
SBER,D,20240710,000000,319.99,54117710
SBER,D,20240711,000000,316.68,88434130
SBER,D,20240712,000000,295.87,163673770
SBER,D,20240713,000000,292.21,49886960
SBER,D,20240716,000000,284.38,58676410
SBER,D,20240717,000000,285.25,82828490
SBER,D,20240718,000000,284.68,42767400
SBER,D,20240719,000000,289.83,34064140
SBER,D,20240720,000000,289.9,30979970
SBER,D,20240723,000000,294.71,33311040
SBER,D,20240724,000000,294.39,22093540
SBER,D,20240725,000000,295.69,24544600
SBER,D,20240726,000000,296.37,22844710
SBER,D,20240727,000000,293.3,84884940
SBER,D,20240730,000000,286.58,52219730
SBER,D,20240731,000000,290,42534130
SBER,D,20240801,000000,289.3,25920100
SBER,D,20240802,000000,287.21,18623090
SBER,D,20240803,000000,286.04,30076980
SBER,D,20240806,000000,275.49,81937270
SBER,D,20240807,000000,279.4,43202810
SBER,D,20240808,000000,282.2,48382920
SBER,D,20240809,000000,281.09,42244110
SBER,D,20240810,000000,281.44,22241490
SBER,D,20240813,000000,280.74,27637540
SBER,D,20240814,000000,283.92,24020180
SBER,D,20240815,000000,280.32,21714850
SBER,D,20240816,000000,278.01,28609160
SBER,D,20240817,000000,274.6,26162430
SBER,D,20240820,000000,268.17,68554390
SBER,D,20240821,000000,266.2,54188810
SBER,D,20240822,000000,266.93,37082330
SBER,D,20240823,000000,261.6,47832270
SBER,D,20240824,000000,259.5,76692590
SBER,D,20240827,000000,265.39,49740810
SBER,D,20240828,000000,260.5,32322390
SBER,D,20240829,000000,262.47,47819940
SBER,D,20240830,000000,260.31,34789950
SBER,D,20240831,000000,254.45,46093930
SBER,D,20240903,000000,244.31,97567000
SBER,D,20240904,000000,244.04,105623660
SBER,D,20240905,000000,253.01,70628230
SBER,D,20240906,000000,252.82,78275280
SBER,D,20240907,000000,254.77,41321430
SBER,D,20240910,000000,263.31,66034220
SBER,D,20240911,000000,261.29,57661380
SBER,D,20240912,000000,258.2,38187230
SBER,D,20240913,000000,254.93,46294910
SBER,D,20240914,000000,258.25,111072970
SBER,D,20240917,000000,263.79,52514890
SBER,D,20240918,000000,265.99,57482960
SBER,D,20240919,000000,263.4,43207650
SBER,D,20240920,000000,264.5,35624340
SBER,D,20240921,000000,269.08,38731230
SBER,D,20240924,000000,273.17,49321720
SBER,D,20240925,000000,272.92,36940480
SBER,D,20240926,000000,267.8,43747450
SBER,D,20240927,000000,267.88,31838840
SBER,D,20240928,000000,268.07,18850980
SBER,D,20241001,000000,268.49,42404640
SBER,D,20241002,000000,266.29,51992710
SBER,D,20241003,000000,259.31,46490120
SBER,D,20241004,000000,264.25,56487900
SBER,D,20241005,000000,264.09,25906840
SBER,D,20241008,000000,263.39,28903960
SBER,D,20241009,000000,262.4,16119810
SBER,D,20241010,000000,260.86,24955850
SBER,D,20241011,000000,259.98,17641350
SBER,D,20241012,000000,256.94,24807370
SBER,D,20241015,000000,261.28,64068170
SBER,D,20241016,000000,262.03,26188700
SBER,D,20241017,000000,259.5,40177540
SBER,D,20241018,000000,256.57,24610370
SBER,D,20241019,000000,257.19,29989090
SBER,D,20241022,000000,258.21,21431740
SBER,D,20241023,000000,255.42,17034860
SBER,D,20241024,000000,252.01,30386580
SBER,D,20241025,000000,252.64,28722160
SBER,D,20241026,000000,246.35,80582460
SBER,D,20241029,000000,242.56,71823960
SBER,D,20241030,000000,242.66,47036950
SBER,D,20241031,000000,241.45,39715140
SBER,D,20241101,000000,237.9,57012180
SBER,D,20241102,000000,238.03,48318530
SBER,D,20241103,000000,238.97,14853190
SBER,D,20241106,000000,239.23,28108960
SBER,D,20241107,000000,243.6,77709700
SBER,D,20241108,000000,250.93,44425190
SBER,D,20241109,000000,255.98,57955250
SBER,D,20241112,000000,260.73,67108770
SBER,D,20241113,000000,255.77,40858380
SBER,D,20241114,000000,254.7,44517870
SBER,D,20241115,000000,249.52,48972450
SBER,D,20241116,000000,253.43,44169640
SBER,D,20241119,000000,248.72,51127080
SBER,D,20241120,000000,240.59,75453920
SBER,D,20241121,000000,237.05,70236990
SBER,D,20241122,000000,240.47,75052950
SBER,D,20241123,000000,236,45501870
SBER,D,20241126,000000,227.81,76358230
SBER,D,20241127,000000,223.16,96738220
SBER,D,20241128,000000,226.3,112401690
SBER,D,20241129,000000,228.56,67717140
SBER,D,20241130,000000,236.49,70247610
SBER,D,20241203,000000,235.17,45050170
SBER,D,20241204,000000,230.8,45313800
SBER,D,20241205,000000,224.55,72374990
SBER,D,20241206,000000,233.48,86902200
SBER,D,20241207,000000,237.84,81003410
SBER,D,20241210,000000,237.29,52314320
